nursery,forgery,messy,ˈnərsəri,ˈfɔrʤəri,ˈmɛsi
glow,owe,kingdom,gloʊ,oʊ,ˈkɪŋdəm
transistor,sister,nutmeg,trænˈzɪstər,ˈsɪstər,ˈnətˌmɛg
list,wished,refuse,lɪst,wɪ,ˈrɛfˌjuz
glory,allegory,camel,ˈglɔri,ˈæləˌgɔri,ˈkæməl
sidewalk,livestock,vaulting,ˈsaɪdˌwɔk,ˈlaɪvˌstɑ,ˈvɔltɪŋ
sandbag,drag,bikini,ˈsændˌbæg,dræg,bɪˈkini
work bench,trench,depend,wərk bɛnʧ,trɛ,dɪˈpɛnd
law,dada,middle,lɔ,ˈdɑˌdɑ,ˈmɪdəl
grade,upgrade,sneaky,greɪd,ˈəpˈgreɪd,sˈniki
see,key,scam,si,ki,skæm
sas,glass,sublet,sæs,glæ,ˈsəˌblɛt
cd,g,minority,ˈsiˈdi,ʤi,məˈnɔrəti
chest,ingest,dialogue,ʧɛst,ˌɪnˈʤɛ,ˈdaɪəˌlɔg
afraid,someday,derby,əˈfreɪd,ˈsəmˌdeɪ,ˈdərbi
beauty,pizzuti,chest,ˈbjuti,pitˈsuti,ʧɛst
dandy,happy,impossible,ˈdændi,ˈhæpi,ˌɪmˈpɑsəbəl
harness,garbage,moccasins,ˈhɑrnɪs,ˈgɑrbɪ,ˈmɑkəsɪnz
arise,guise,wardrobe,əraɪz,gaɪz,ˈwɔrˌdroʊb
clock,chalk,chorus,klɑk,ʧɔ,ˈkɔrəs
piech,peach,collapse,piʧ,pi,kəˈlæps
he,sea,imperfect,hi,si,ˌɪmˈpərfɪkt
raspy,happy,weakness,ˈræspi,ˈhæpi,ˈwiknəs
expedite,fight,nominate,ˈɛkspɪˌdaɪt,faɪ,ˈnɑməˌneɪt
knock,squawk,delightful,nɑk,skwɔ,dɪˈlaɪtfəl
mansion,jackson,seed,ˈmænʃən,ˈʤæksən,sid
into,bathroom,strait,ˈɪntu,ˈbæθˌru,streɪt
welcome,nelson,amount,ˈwɛlkəm,ˈnɛlsən,əˈmaʊnt
veil,male,mower,veɪl,meɪl,moʊər
weekend,bookends,mare,ˈwiˌkɪnd,ˈbʊˌkɛndz,mɛr
soft,prost,swan,sɔft,prɑ,swɔn
internet,whet,kid,ˈɪntərˌnɛt,wɛt,kɪd
deposition,admission,raspy,ˌdɛpəˈzɪʃən,ədˈmɪʃən,ˈræspi
hew,cue,prestige,hju,kju,prɛˈstiʒ
cuddly,buddy,sonar,ˈkədli,ˈbədi,ˈsoʊnɑr
spit,resubmit,farming,spɪt,ˌrisəbˈmɪt,ˈfɑrmɪŋ
texting,king,telephone,ˈtɛkˌstɪŋ,kɪŋ,ˈtɛləˌfoʊn
outrun,become,synonym,aʊˈtrən,bɪˈkəm,ˈsɪnəˌnɪm
four flush,crush,marxism,fɔr fləʃ,krəʃ,ˈmɑrksɪzəm
satellite,goodnight,prestige,ˈsætəˌlaɪt,ˈgʊdˌnaɪt,prɛˈstiʒ
gourd,cord,sailboat,gɔrd,kɔ,ˈseɪlˌboʊt
cradle,betrayal,supreme,ˈkreɪdəl,bɪˈtreɪə,səˈprim
powder,router,breakthrough,ˈpaʊdər,ˈrutə,ˈbreɪkθˌru
lining,diamond,kayak,ˈlaɪnɪŋ,ˈdaɪmə,kaɪæk
hot,tot,graduation,hɑt,tɑt,ˌgræʤəˈweɪʃən
rates,grace,cloistered,reɪts,greɪs,ˈklɔɪstərd
street,compete,relation,strit,kəmˈpi,riˈleɪʃən
space,displace,odyssey,speɪs,dɪˈspleɪs,ˈɑdəsi
walker,punk rocker,restoration,ˈwɔkər,pəŋk ˈrɑkər,ˌrɛstərˈeɪʃən
copacabana,piano,mouton,ˌkoʊpəkəˈbænə,piˈænə,ˈmutɔn
rely,sometime,dusk,rɪˈlaɪ,ˈsəmˌtaɪ,dəsk
fee,glee,illiteracy,fi,gli,ˌɪˈlɪtərəsi
eye blink,brink,questionable,aɪ blɪŋk,brɪŋk,kˈwɛsʧənəbəl
sea pink,sink,text,si pɪŋk,sɪŋk,tɛkst
gall,ball,surrounds,gɔl,bɔ,səraʊndz
debt,bet,sunroom,dɛt,bɛt,ˈsənˌrum
grande,grand,corduroy,grænd,græ,ˈkɔrdərˌɔɪ
rudin,union,pyramid,ˈrudɪn,ˈjunjən,ˈpɪrəmɪd
bleeding heart,start,wall,ˈblidɪŋ hɑrt,stɑrt,wɔl
snub,rub,blackberry,snəb,rəb,ˈblækˌbɛri
walk,knock,cadet,wɔk,nɑ,kəˈdɛt
went,present,execute,wɛnt,ˈprɛzənt,ˈɛksəˌkjut
suck,woodchuck,cheque,sək,ˈwʊˌdʧə,ʧɛk
reith,underneath,talking,riθ,ˌəndərˈniθ,ˈtɔkɪŋ
trap,slab,allow,træp,slæb,əˈlaʊ
model,awful,nightmare,ˈmɑdəl,ˈɔfə,ˈnaɪtˌmɛr
swinger,finger,cub,sˈwɪŋər,ˈfɪŋgər,kəb
winner,springer,baseboard,ˈwɪnər,ˈsprɪŋər,ˈbeɪsˌbɔrd
jetliner,diner,living,ˈʤɛˌtlaɪnər,ˈdaɪnər,ˈlɪvɪŋ
drummer,plumber,shrill,ˈdrəmər,ˈpləmə,ʃrɪl
fifth,smith,harsh,fɪθ,smɪ,hɑrʃ
saving,scathing,craw,ˈseɪvɪŋ,ˈskeɪðɪŋ,krɔ
prust,crust,scaffold,prəst,krə,ˈskæfəld
mission,transition,hotel,ˈmɪʃən,trænˈzɪʃə,hoʊˈtɛl
inner city,pretty,pace,ˈɪnər ˈsɪti,ˈprɪti,peɪs
floor,core,talent,flɔr,kɔ,ˈtælənt
delight,recondite,quick,dɪˈlaɪt,ˈrɛkənˌdaɪ,kwɪk
button,bucket,broad,ˈbətən,ˈbəkɪ,brɔd
skinny,funny,annual,ˈskɪni,ˈfəni,ˈænjuəl
hassle,castle,analogy,ˈhæsəl,ˈkæsəl,əˈnæləʤi
verdict,burdick,waveform,ˈvərdɪkt,ˈbərdɪk,weɪvfɔɹm
amuck,suc,butterfly,əˈmək,sə,ˈbətərˌflaɪ
flamboyantly,loyalty,artifact,flæmˈbɔɪəntli,ˈlɔɪəlti,ˈɑrtəˌfækt
final,spiral,rug,ˈfaɪnəl,ˈspaɪrəl,rəg
scarring,carving,cleavage,ˈskɑrɪŋ,ˈkɑrvɪ,ˈklivɪʤ
please,portuguese,bargain,pliz,ˈpɔrʧəˌgi,ˈbɑrgɪn
steel,meal,wave,stil,mil,weɪv
stream,redeem,warn,strim,rɪˈdim,wɔrn
ice,edelweiss,privacy,aɪs,ˈeɪdəlˌvaɪs,ˈpraɪvəsi
spotless,bottom,pregnancy,ˈspɑtləs,ˈbɑtə,ˈprɛgnənsi
miss,grits,capital,mɪs,grɪts,ˈkæpɪtəl
moy,soy,beat,mɔɪ,sɔɪ,bit
deer,care,ant,dɪr,kɛr,ænt
river,beaver,jiffy,ˈrɪvər,ˈbivər,ˈʤɪfi
amused,used,microphone,əmˈjuzd,ju,ˈmaɪkrəˌfoʊn
erased,waist,ballpark,ɪˈreɪst,weɪst,ˈbɔlˌpɑrk
cuban,human,jellyfish,ˈkjubən,ˈjumən,ˈʤɛliˌfɪʃ
rubber,suffer,flock,ˈrəbər,ˈsəfər,flɑk
passing,passion,expectancy,ˈpæsɪŋ,ˈpæʃə,ɪkˈspɛktənsi
alligator,indicator,gullible,ˈæləˌgeɪtər,ˈɪndəˌkeɪtə,ˈgələbəl
x-rated,get naked,detour,ɛks ˈreɪtɪd,gɪt ˈneɪkə,ˈditʊr
cleaner,tina,freezing,ˈklinər,ˈtinə,ˈfrizɪŋ
bauch,scotch,watermelon,bɔʧ,skɑʧ,ˈwɔtərˌmɛlən
open,spoken,squalid,ˈoʊpən,ˈspoʊkən,skˈwɑləd
understood,likelihood,ecliptic,ˌəndərˈstʊd,ˈlaɪkliˌhʊd,ɪˈklɪptɪk
gritty,misty,vogue,ˈgrɪti,ˈmɪsti,voʊg
creak,weak,ascent,krik,wi,əˈsɛnt
college,calling,proximity,ˈkɑlɪʤ,ˈkɔlɪŋ,prɑkˈsɪməti
qi,foresee,ignorance,ki,fɔrˈsi,ˈɪgnərəns
house,thereabouts,sunroom,haʊs,ˌðɛrəˈbaʊts,ˈsənˌrum
geometry,sovereignty,upset,ʤiˈɑmətri,ˈsɑvrənti,ˈəpˌsɛt
disease,skis,bowtie,dɪˈziz,skiz,ˈboʊtaɪ
march,charge,application,mɑrʧ,ʧɑ,ˌæpləˈkeɪʃən
denial,quiet,editor,dɪˈnaɪəl,kwaɪət,ˈɛdɪtər
shell fish,selfish,cheerful,ʃɛl fɪʃ,ˈsɛlfɪ,ˈʧɪrfəl
meat,street,outline,mit,stri,ˈaʊˌtlaɪn
seed,cede,nature,sid,sid,ˈneɪʧər
parking,barking,tape,ˈpɑrkɪŋ,ˈbɑrkɪ,teɪp
sand,headband,aardvark,sænd,ˈhɛdˌbænd,ˈɑrdˌvɑrk
paradise,white rice,sensitive,ˈpɛrəˌdaɪs,waɪt raɪs,ˈsɛnsɪtɪv
gutter,suffer,fluke,ˈgətər,ˈsəfər,fluk
a couple of,glove,confectionery,ə ˈkəpəl əv,glə,kənˈfɛkʃəˌnɛri
partner,armor,friendship,ˈpɑrtnər,ˈɑrmər,ˈfrɛndʃɪp
den,lpn,rowboat,dɛn,ˈɛlˈpiˈɛ,ˈroʊˌboʊt
capable,changeable,deployment,ˈkeɪpəbəl,ˈʧeɪnʤəbəl,dɪˈplɔɪmənt
zip,ship,panties,zɪp,ʃɪ,ˈpæntiz
fling,king,shore,flɪŋ,kɪŋ,ʃɔr
window,continue,sedate,ˈwɪndoʊ,kənˈtɪnju,sɪˈdeɪt
quart,airport,pun,kwɔrt,ˈɛrˌpɔ,pən
ceiling,heating,enactment,ˈsilɪŋ,ˈhitɪŋ,ɛˈnæktmənt
agree,disagree,endpoint,əˈgri,dɪsəˈgri,ˈɛndˌpɔɪnt
sonnet,profit,remains,ˈsɑnɪt,ˈprɑfɪt,rɪˈmeɪnz
charge,larch,afford,ʧɑrʤ,lɑrʧ,əˈfɔrd
comet,promise,narrow,ˈkɑmət,ˈprɑmə,ˈnɛroʊ
shake,headache,shadow,ʃeɪk,ˈhɛˌdeɪk,ˈʃæˌdoʊ
bore,hear,shipper,bɔr,hir,ˈʃɪpər
hunger,spelunker,petition,ˈhəŋgər,spəˈləŋkər,pəˈtɪʃən
sort,convert,undertake,sɔrt,ˈkɑnvərt,ˈəndərˌteɪk
quote,goat,shocking,kwoʊt,goʊt,ˈʃɑkɪŋ
ruffle,suckle,clinic,ˈrəfəl,ˈsəkə,ˈklɪnɪk
yesterday,meditate,founding,ˈjɛstərˌdeɪ,ˈmɛdəˌteɪ,ˈfaʊndɪŋ
otello,fellow,coaster,oʊˈtɛloʊ,ˈfɛloʊ,ˈkoʊstər
cursed,burst,ford,kərst,bərst,fɔrd
therefore,sore,colloquy,ˈðɛrˌfɔr,sɔ,ˈkɑləkwi
inviolate,violence,mule,ˌɪnˈvaɪəlɪt,ˈvaɪələns,mjul
corruption,seduction,reputation,kərˈəpʃən,sɪˈdəkʃə,ˌrɛpjəˈteɪʃən
salesman,salesmen,chrome,ˈseɪlzmən,ˈseɪlzmɪ,kroʊm
spark,irk,fridge,spɑrk,ərk,frɪʤ
wonderful,thunderous,mixer,ˈwəndərfəl,ˈθəndərəs,ˈmɪksər
buddy,work study,bridge,ˈbədi,wərk ˈstədi,brɪʤ
might,right,examine,maɪt,raɪ,ɪgˈzæmɪn
gray,leeway,rainbow,greɪ,ˈliˌweɪ,ˈreɪnˌboʊ
secret,coequal,goodness,ˈsikrɪt,koʊˈikwə,ˈgʊdnɪs
trick,dic,elevator,trɪk,dɪ,ˈɛləˌveɪtər
powder,browner,unite,ˈpaʊdər,ˈbraʊnə,ˈjuˌnaɪt
hire,endure,founder,haɪər,ɪnˈdʊr,ˈfaʊndər
beaver,believer,hapless,ˈbivər,bɪˈlivə,ˈhæpləs
lay,pay,chives,leɪ,peɪ,ʧaɪvz
turned,learned,poor,tərnd,ˈlərnɪd,pur
divided,excited,garment,dɪˈvaɪdɪd,ɪkˈsaɪtɪd,ˈgɑrmənt
combat,rat,earth,ˈkɑmbæt,ræ,ərθ
heise,vice,mare,haɪs,vaɪ,mɛr
aback,counteract,watchful,əˈbæk,ˈkaʊntərˌæ,ˈwɑʧfəl
exclude,mood,roadway,ɪkˈsklud,mu,ˈroʊdˌweɪ
claws,cause,watermelon,klɔz,kɔ,ˈwɔtərˌmɛlən
presence,convalescence,surroundings,ˈprɛzəns,ˌkɑnvəˈlɛsəns,sərˈaʊndɪŋz
adored,record,burrito,əˈdɔrd,ˈrɛkə,bərˈitoʊ
support,galore,wanting,səˈpɔrt,gəˈlɔ,ˈwɑnɪŋ
winger,finger,molecule,ˈwɪŋər,ˈfɪŋgər,ˈmɑləˌkjul
moad,load,camel,moʊd,loʊd,ˈkæməl
work study,muddy,occur,wərk ˈstədi,ˈmədi,əˈkər
puppy,ruddy,position,ˈpəpi,ˈrədi,pəˈzɪʃən
chest,infest,pad,ʧɛst,ˌɪnˈfɛ,pæd
cooter,ruler,worry,ˈkutər,ˈrulə,ˈwəri
cry,rectify,agent,kraɪ,ˈrɛktəˌfaɪ,ˈeɪʤənt
jewelry,jewellers,start,ˈʤuəlri,ˈʤuələ,stɑrt
confine,shine,mover,kənˈfaɪn,ʃaɪ,ˈmuvər
ole,whole,accessory,ˌoʊˈleɪ,hoʊ,ækˈsɛsəri
flatten,cabin,rough,ˈflætən,ˈkæbə,rəf
styling,silence,expand,ˈstaɪlɪŋ,ˈsaɪlə,ɪkˈspænd
cometh,summit,stone,ˈkəmɪθ,ˈsəmɪ,stoʊn
absence,happens,draw,ˈæbsəns,ˈhæpənz,drɔ
cold,enrolled,screeching,koʊld,ɛnˈroʊ,ˈskriʧɪŋ
calm,tom,rhubarb,kɑm,tɑm,ˈruˌbɑrb
cafe,ray,gossip,kəˈfeɪ,reɪ,ˈgɑsəp
sten,den,quick,stɛn,dɛn,kwɪk
waist,toxic waste,info,weɪst,ˈtɑksɪk weɪ,ˈɪnfoʊ
koeppen,open,necessity,ˈkoʊpən,ˈoʊpə,nəˈsɛsɪti
loon,noon,heart,lun,nun,hɑrt
chicken,living,bomber,ˈʧɪkən,ˈlɪvɪ,ˈbɑmər
driveway,slay,okra,ˈdraɪvˌweɪ,sleɪ,ˈoʊkrə
par,radar,oar,pɑr,ˈreɪˌdɑr,ɔr
capable,debatable,vinegar,ˈkeɪpəbəl,dəˈbeɪtəbə,ˈvɪnəgər
fall,all,conifer,fɔl,ɔl,ˈkɑnəfər
pastoral,fleet admiral,shame,ˈpæstərəl,flit ˈædmərə,ʃeɪm
greek church,charge,harmonious,grik ʧərʧ,ʧɑ,hɑrˈmoʊniəs
overuse,choose,grenade,ˌoʊvərˈjuz,ʧu,grəˈneɪd
get,bet,intervention,gɪt,bɛt,ˌɪntərˈvɛnʃən
warm,sperm,gorilla,wɔrm,spərm,gərˈɪlə
revolution,communion,genocide,ˌrɛvəˈluʃən,kəmˈjunjə,ˈʤɛnəˌsaɪd
hang,drang,pig,hæŋ,dræ,pɪg
joyfully,loyalty,smell,ˈʤɔɪfəli,ˈlɔɪəlti,smɛl
cosmic dust,bust,jiffy,ˈkɑzmɪk dəst,bəst,ˈʤɪfi
chick,nick,major-league,ʧɪk,nɪ,ˈmeɪʤər lig
strike,birdlike,milkshake,straɪk,ˈbərˌdlaɪ,ˈmɪlkˌʃeɪk
perspective,selected,mom,pərˈspɛktɪv,səˈlɛktɪ,mɑm
wreck,beck,sordid,rɛk,bɛ,ˈsɔrdəd
smiling,signing,union,sˈmaɪlɪŋ,ˈsaɪnɪŋ,ˈjunjən
dirt,burt,daffodil,dərt,bərt,ˈdæfəˌdɪl
tongue,unsung,hatchet,təŋ,ənˈsəŋ,ˈhæʧət
autonomous,optimist,drama,ɔˈtɑnəməs,ˈɑptɪmɪ,ˈdrɑmə
ashe,flash,detailed,æʃ,flæʃ,dɪˈteɪld
welcome,venom,basis,ˈwɛlkəm,ˈvɛnə,ˈbeɪsɪs
breaking point,joint,mess,ˈbreɪkɪŋ pɔɪnt,ʤɔɪ,mɛs
daycare,shaker,diver,ˈdeɪˌkɛr,ˈʃeɪkər,ˈdaɪvər
blanche,branch,larva,blænʧ,brænʧ,ˈlɑrvə
cilantro,mango,catastrophe,sɪˈlænˌtroʊ,ˈmæŋgoʊ,kəˈtæstrəfi
bouquet,fruitcake,organization,buˈkeɪ,ˈfrutˌkeɪ,ˌɔrgənəˈzeɪʃən
timed,kind,deviation,taɪmd,kaɪ,ˌdiviˈeɪʃən
shallower,follower,gravel,ˈʃæloʊər,ˈfɑloʊər,ˈgrævəl
machinery,scenery,gifted,məˈʃinəri,ˈsinəri,ˈgɪftɪd
doll,gall,sake,dɑl,gɔ,seɪk
hill,quill,brook,hɪl,kwɪl,brʊk
receiver,dealer,nonchalant,rɪˈsivər,ˈdilə,ˌnɑnʃəˈlɑnt
spell,farewell,chimpanzee,spɛl,ˌfɛrˈwɛl,ʧɪmˈpænzi
oven,love-in,entrance,ˈəvən,ləv ɪ,ˈɛntrəns
football,gaul,airfare,ˈfʊtˌbɔl,gɔ,ˈɛrˌfɛr
institution,contribution,arcade,ˌɪnstɪˈtuʃən,ˌkɑntrəˈbjuʃə,ɑrˈkeɪd
deserve,occur,node,dɪˈzərv,əˈkə,noʊd
forestall,wall,imitation,fɔrˈstɔl,wɔ,ˌɪməˈteɪʃən
gang,zang,go-kart,gæŋ,zæŋ,goʊ 
sky,fly,glider,skaɪ,flaɪ,ˈglaɪdər
lead,stead,marriage,lɛd,stɛd,ˈmɛrɪʤ
alliterative,creative,wetsuit,əˈlɪtərˌeɪtɪv,kriˈeɪtɪv,ˈwɛtˌsut
storm,worm,colt,stɔrm,wərm,koʊlt
plant,enchant,siding,plænt,ɛnˈʧæ,ˈsaɪdɪŋ
sweat,debt,servitude,swɛt,dɛ,ˈsərvəˌtud
elucidate,hate,twins,ɪˈlusəˌdeɪt,heɪ,twɪnz
balla,alpha,tank-top,ˈbælə,ˈælfə,tæŋk tɔp
hungry,crunchy,twist,ˈhəŋgri,ˈkrənʧi,twɪst
pull,to the full,drudgery,pʊl,tɪ ðə fʊl,ˈdrəʤəri
brock,talk,fairness,brɑk,tɔ,ˈfɛrnəs
switching,sipping,playwright,sˈwɪʧɪŋ,ˈsɪpɪŋ,ˈpleɪˌraɪt
chess,possess,provision,ʧɛs,pəˈzɛs,prəˈvɪʒən
four,war,day,fɔr,wɔr,deɪ
pay,inlay,octet,peɪ,ˈɪnˌleɪ,ɑkˈtɛt
divan,plan,inside,dɪˈvæn,plæn,ˌɪnˈsaɪd
articulate,estate,bout,ɑrˈtɪkjəˌleɪt,ɛˈsteɪt,baʊt
terrified,enterprise,rambler,ˈtɛrəˌfaɪd,ˈɛnərˌpraɪ,ˈræmblər
aside,collide,hall,əˈsaɪd,kəˈlaɪ,hɔl
skip,true rib,bull,skɪp,tru rɪ,bʊl
sight,luddite,salute,saɪt,ˈləˌdaɪ,səˈlut
mentor,blender,governor,ˈmɛnˌtɔr,ˈblɛndə,ˈgəvərnər
thanks,marchbanks,bring,θæŋks,ˈmɑrʧˌbæ,brɪŋ
get naked,x-rated,decadence,gɪt ˈneɪkəd,ɛks ˈreɪtɪ,ˈdɛkədəns
mundane,champagne,orator,mənˈdeɪn,ʃæmˈpeɪn,ˈɔrətər
wonderful,refundable,dome,ˈwəndərfəl,rɪˈfəndəbəl,doʊm
grief,sheaf,applaud,grif,ʃi,əˈplɔd
walker,author,cannibal,ˈwɔkər,ˈɔθər,ˈkænəbəl
clients,science,ashamed,klaɪənts,saɪəns,əˈʃeɪmd
catty,caddy,crayfish,ˈkæti,ˈkædi,ˈkreɪfɪʃ
blue daisy,crazy,oval,blu ˈdeɪzi,ˈkreɪzi,ˈoʊvəl
jelly,belfry,clavicle,ˈʤɛli,ˈbɛlfri,ˈklævɪkəl
lung,young,mosque,ləŋ,jə,mɔsk
chicken broth,cloth,programming,ˈʧɪkən brɔθ,klɔθ,ˈproʊˌgræmɪŋ
launcher,monster,realize,ˈlɔnʧər,ˈmɑnstə,ˈriəˌlaɪz
pen,fen,delight,pɛn,fɛ,dɪˈlaɪt
slam,clam,functional,slæm,klæ,ˈfəŋkʃənəl
truck,bad luck,harmony,trək,bæd lə,ˈhɑrməni
mend,bend,fava,mɛnd,bɛ,ˈfɑvə
melvin,velvet,cinder,ˈmɛlvɪn,ˈvɛlvə,ˈsɪndər
famous,nameless,food,ˈfeɪməs,ˈneɪmləs,fud
calm,bomb,headache,kɑm,bɔ,ˈhɛˌdeɪk
dozen,guzzle,cruise,ˈdəzən,ˈgəzə,kruz
bare,deer,legging,bɛr,dɪ,ˈlɛgɪŋ
singing,rinsing,accord,ˈsɪŋɪŋ,ˈrɪnsɪ,əˈkɔrd
close,oats,working,kloʊz,oʊ,ˈwərkɪŋ
kollasch,polish,compute,ˈkɑləʃ,ˈpɑlɪ,kəmˈpjut
cradle,haydel,diagram,ˈkreɪdəl,ˈheɪdəl,ˈdaɪəˌgræm
road,lode,dust storm,roʊd,loʊd,dəst stɔrm
surround,amounts,discreet,səraʊnd,əˈmaʊnts,dɪˈskrit
storey,hurry,control,ˈstɔri,ˈhəri,kənˈtroʊl
tiptoeing,going,lottery,ˈtɪpˌtoʊɪŋ,goʊɪ,ˈlɑtəri
aisha,vacation,marsh,ˈaɪʃə,veɪˈkeɪʃə,mɑrʃ
masonic,tonic,colleague,məˈsɑnɪk,ˈtɑnɪ,ˈkɑlig
hook,gook,wistful,hʊk,gʊk,ˈwɪstfəl
recross,boss,spine,riˈkrɔs,bɔs,spaɪn
assail,scale,algebra,əˈseɪl,skeɪ,ˈælʤəbrə
dam,nam,temporary,dæm,næm,ˈtɛmpərˌɛri
ad-lib,trip,aide,æd lɪb,trɪp,eɪd
sunshine,sublime,mayonnaise,ˈsənˌʃaɪn,səˈblaɪ,ˈmeɪəˌneɪz
rainy,lady,sigh,ˈreɪni,ˈleɪdi,saɪ
